size,beds,zip,wealth,price
3426,6,94301,1.5287116001110297,1290.654786951341
3537,5,94022,1.2960862111873008,1205.2121846254288
670,1,94022,0.5569308292378828,197.81266163058217
1603,3,94301,0.7346628748057399,467.51239828636864
2604,4,94022,1.1524688406036923,896.170746059639
1883,4,94305,0.9263071821174025,644.500692369476
2840,4,94305,0.9312212312229692,889.5373368082243
1747,2,94301,0.6870886019277533,437.2605754154993
1915,3,94305,1.002196903605742,673.6240215374165
3107,4,94301,1.008650653684773,1023.6037693197705
2134,2,94301,0.34664882787808066,461.620692540988
682,1,94301,0.9368364670201608,226.0261893136903
2508,3,94305,0.846539515757024,695.7626553420293
3612,5,94022,1.1089220780959859,1193.1002429278667
3632,5,94022,1.2009633401965891,1203.7235888836758
694,1,94022,0.136982326648887,120.0
3055,5,94305,1.4570174908237508,1158.0785408453987
1008,2,94022,0.47429093956271723,186.62123469266623
1701,2,94022,0.4366402117372102,276.9634401846617
1668,4,94305,0.6302424182417987,525.4250857997239
3123,5,94022,1.0193913366011154,1035.0917758218893
2048,3,94305,1.2683913470906745,685.5802287615419
846,1,94022,0.8238293721802907,229.64572921174758
1415,1,94301,0.37042847722023536,268.263472119949
3729,5,94022,1.139674949387362,1219.0751770701859
1314,2,94305,0.6711943696144849,375.3625370355753
762,1,94301,0.6222329866501708,159.18443800236773
2232,3,94305,0.6570328637441752,628.915520285463
3294,5,94305,1.2498584476091814,1174.1879591147651
2774,3,95112,1.2295842950413034,864.2037170152523
1917,3,94301,0.7888413754495409,525.9543361884287
2392,4,94022,0.8086880601777372,664.2272292501984
2264,4,94305,1.1175330186221581,831.2328878184863
3260,5,94301,1.097682480508514,1076.956941908576
2366,3,94022,0.659372317286923,650.6982284942736
2121,2,95112,0.4270081302974005,519.2938553658065
3674,6,94305,1.4568402761581432,1482.8927534656355
3734,6,94305,0.862960036976996,1300.4335306658968
3386,6,94301,1.0324587506662632,1170.5793404995748
3209,5,94305,1.3011867601704532,1142.7715382559416
824,1,94022,0.5403197283840503,174.0211575598099
3485,5,95112,1.7749129998861397,1363.4714885968751
2817,3,94305,0.842647535335695,879.0182473129391
1224,2,94022,0.6630177749467387,234.87152471370058
2737,3,94022,0.9963211236879927,837.3523100027385
945,1,94301,0.40584014814106006,120.0
3161,5,94301,1.483307103506544,1184.5767583002926
1012,1,94305,0.48380115089194503,232.46610552641232
